top_15,interdiciplinary_ratio
Artificial Intelligence in Healthcare,53.16244150768756
AI in Service Interactions,80.49565497264241
Advanced Mathematical Modeling in Engineering,30.513797364085665
Privacy-Preserving Technologies in Data,32.545068202070055
CAR-T cell therapy research,79.03018625561978
"FinTech, Crowdfunding, Digital Finance",32.09469018202395
Robotic Path Planning Algorithms,1.9572535817740548
Extraction and Separation Processes,2.2882254887104105
Electric Vehicles and Infrastructure,7.413260541627757
Nanoplatforms for cancer theranostics,64.37278987530244
Environmental Sustainability in Business,35.42015400066957
BIM and Construction Integration,37.783300198807154
Stock Market Forecasting Methods,56.43250850240413
Black Holes and Theoretical Physics,0.442963212959838
Spectroscopy and Chemometric Analyses,58.310145911096036
